서비스관리번호|유효시작일시|유효종료일시|작업조직 ID|작업업체명|작업업체 ID|관리서비스조직상태코드|
20170718030021
7268535998|20170701003320|20170717000122|7000002039|강남Home센터|1003002224|20|
7268535999|20170701003320|20170717000300|7000002039|강남Home센터|1003002224|20|
7238592983|20131120184439|20170717010320|1000161514|부산서부Home고객센터|1003000854|20|
7102318659|20170701003320|20170717000546|7000002039|강남Home센터|1003002224|20|
7241655486|20170701003320|20170717001528|7000002039|강남Home센터|1003002224|20|
7241655487|20170701003320|20170717001858|7000002039|강남Home센터|1003002224|20|
7263235515|20170701003320|20170717001948|7000002039|강남Home센터|1003002224|20|
7243485170|20170701012306|20170717003800|7000002058|분당판교Home센터|1003002243|20|
7259489731|20170701012306|20170717003822|7000002058|분당판교Home센터|1003002243|20|
7132657242|20130207013101|20170717010318|1000161514|부산서부Home고객센터|1003000854|20|
7276129431|20170427113355|20170717010330|1000161514|부산서부Home고객센터|1003000854|20|
7239919858|20170701003320|20170717010321|7000002039|강남Home센터|1003002224|20|
7130832924|20130207010810|20170717010322|1000161514|부산서부Home고객센터|1003000854|20|
7246200254|20140610102511|20170717010323|1000161514|부산서부Home고객센터|1003000854|20|
7247033821|20170701011045|20170717010324|7000002026|부산북부Home센터|1003002211|20|
7246200256|20140610102751|20170717010325|1000161514|부산서부Home고객센터|1003000854|20|
7246382246|20140611141544|20170717010327|1000161514|부산서부Home고객센터|1003000854|20|
7246382247|20140611141859|20170717010329|1000161514|부산서부Home고객센터|1003000854|20|
7227492361|20130207183248|20170717010327|1000161514|부산서부Home고객센터|1003000854|20|
7247845643|20170701010001|20170717010328|7000002047|관악Home센터|1003002232|20|
7246387099|20170701011045|20170717010329|7000002025|부산중부Home센터|1003002210|20|
7247036492|20170701011045|20170717010332|7000002026|부산북부Home센터|1003002211|20|
7277724288|20170616171411|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7246387100|20170701011045|20170717010331|7000002025|부산중부Home센터|1003002210|20|
7246387101|20170701011045|20170717010331|7000002025|부산중부Home센터|1003002210|20|
7247033819|20170701011045|20170717010333|7000002026|부산북부Home센터|1003002211|20|
7126368712|20130207010620|20170717010335|1000161514|부산서부Home고객센터|1003000854|20|
7237253687|20131017180055|20170717010337|1000161514|부산서부Home고객센터|1003000854|20|
7138881839|20161212172943|20170717010340|1000161514|부산서부Home고객센터|1003000854|20|
7234740842|20130819090328|20170717010404|1000161514|부산서부Home고객센터|1003000854|20|
7277382282|20170616164221|20170717030027|1000266145|하나로산업개발(신성아이시티_3)|1003002061|10|
7277724286|20170616171414|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277609334|20170616115612|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277685448|20170616170844|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277724287|20170616171415|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277723102|20170616171420|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277724285|20170616171412|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277723105|20170616171421|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7129763637|20170616150537|20170717030027|1000217492|하나로산업개발(티오티_3)|1003001704|10|
7277609330|20170616115314|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609331|20170616115344|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609333|20170616115454|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609335|20170616115642|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609336|20170616115716|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609337|20170616115749|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609338|20170616115814|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609339|20170616115848|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609340|20170616115913|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609341|20170616115938|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609342|20170616120005|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609343|20170616120032|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609344|20170616120057|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609345|20170616120123|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609346|20170616120148|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277609347|20170616120217|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277650158|20170616142759|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277703105|20170616142835|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7275827123|20170616160718|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277739420|20170616165451|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277722743|20170616180450|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277722744|20170616180538|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277722745|20170616180603|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277722746|20170616180630|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277606671|20170616180345|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277609332|20170616115420|20170717030027|1000239214|하나로산업개발(에버시스템)|1003001831|10|
7277356254|20170616184156|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277382280|20170616164921|20170717030027|1000266145|하나로산업개발(신성아이시티_3)|1003002061|10|
7277723104|20170616171420|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7276515163|20170616145507|20170717030027|1000261207|하나로산업개발(한국코스모_3)|1003001997|10|
7277657414|20170616180334|20170717030027|1000261205|하나로산업개발(에스엘테크_3)|1003001996|10|
7277724284|20170616171412|20170717030027|1000217506|하나로산업개발(금란_3)|1003001711|10|
7277541496|20170616172640|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356250|20170616184150|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356251|20170616184152|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356252|20170616184153|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356257|20170616184155|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356255|20170616184158|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
7277356256|20170616184159|20170717030027|1000266119|하나로산업개발(유베이스_3)|1003002052|10|
