망장애작업일련번호|정보센터국사코드|장비설치국사코드|장비관리번호|장비TID값|HFC커버리지CELL번호|RACK번호|SHELF번호|SLOT카드번호|포트번호|망장애작업복구번호|피해회선수;
9803199|A10100|N01124|FS101635|G2_길동현대_101_1-5#M1_GP||||||1|18;
9803199|A10100|N01124|FS101636|G2_길동현대_101_6-9#M1_GP||||||1|16;
9803199|A10100|N01124|FS128092|G2_길동현대_102_1-4#M1_GP||||||1|20;
9803199|A10100|N01124|FS230238|G2_길동현대_101_6-9#M2_GP||||||1|8;
9803199|A10100|N01124|PL020370|길동현대_101_6-9#BVD_1||||||1|0;
9803199|A10100|N01124|FS101637|G2_길동현대_102_1-4#M2_GP||||||1|21;
9803199|A10100|N01124|FS187937|길동현대_MDF#M1_열위||||||1|0;
9803199|A10100|N01124|FS101638|G2_길동현대_102_5-8#M1_GP||||||1|19;
9803199|A10100|N01124|PE002049|길동현대_50M_CU#M1_GP||||||1|1;
9803199|A10100|N01124|RN001062|SPC71331||||||1|48;
9803199|A10100|N01124|FS128091|G2_길동현대_101_1-5#M2_GP||||||1|17;
9803199|A10100|N01124|FS319106|G2_길동현대_102_5-8#M2_GP||||||1|5;
9803541|A10100|M52523|FS298257|[Mini08]암사동-474-4||||||1|2;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|031||1|;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|011||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|021||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|022||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|041||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|011||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|021||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|022||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|042||1|24;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|012||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|032||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|041||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|051||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|102||1|15;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|052||1|21;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|062||1|19;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|192||1|0;
9802903|N00936|N01640|RN001490|HW-WOOSUNG#5||01|01|182||1|15;
10612309300|N00936|N01640|FS063613|호원 우성5차_505(6-7)M||01|01|011||2784891|12;
10612309300|N00936|N01640|FS063613|호원 우성5차_505(6-7)M||01|01|031||2784891|0;
10612309300|N00936|N01640|FS063606|호원 우성5차_502(1-2)M||01|01|011||2784891|15;
