망장애작업일련번호|망장애작업복구번호|복구소요시간;
9803199|1|203;
10612293100|2784724|45;
10612309300|2784891|36;
10612299300|2784882|7;
10612304000|2784885|4;
9803541|1|360;
10612304900|2784975|10;
10612304400|2784658|9;
10612304400|2785075|9;
10612304400|2784972|9;
10612307200|2784892|36;
5577683403|1|70;
10612311400|2784664|4;
10612311400|2784665|4;
10612311400|2785090|4;
10612311400|2784976|5;
10612311400|2784977|4;
10612311400|2784978|4;
10612311400|2784262|4;
10612310500|2785089|5;
9802903|1|34;
10612310400|2784546|10;
10612310600|2784744|13;
10612313800|2784823|5;
10612313800|2784824|5;
10612315900|2784828|3;
10612311400|2784263|4;
10612311400|2784264|4;
10612311400|2784543|4;
10612311400|2784544|4;
10612311400|2784545|4;
10612311400|2784894|4;
10612311400|2784895|4;
10612311400|2784896|6;
10612311400|2784897|4;
10612311400|2784902|21;
10612311400|2784821|4;
10612311400|2784822|4;
10612311400|2784740|4;
10612311400|2784741|4;
10612311400|2784742|4;
5011436934701|2784889|4;
10612304700|2785093|110;
10612316200|2784668|4;
10612316200|2784669|4;
10612316200|2785094|5;
10612316200|2784979|5;
10612316200|2784268|4;
10612316200|2784269|5;
10612316200|2784548|4;
10612316200|2784549|4;
10612316200|2784550|5;
10612316200|2784903|4;
10612316200|2784904|4;
10612316200|2784905|6;
10612316200|2784906|6;
10612316200|2784907|7;
10612316200|2784829|5;
10612316200|2784830|4;
10612306700|2784666|64;
10612306700|2784667|64;
10612306700|2784265|64;
10612306700|2784266|67;
10612306700|2784898|64;
10612306700|2784899|64;
10612306700|2784825|64;
10612306700|2784827|64;
10612306700|2784743|64;
10612317700|2785096|19;
10612314500|2784551|56;
9803000|2784747|67;
9803001|2784748|66;
10612321200|2784832|1;
10612319700|2785172|10;
10612319700|2785099|9;
10612319700|2784980|6;
10612319700|2784981|10;
10612319700|2784982|10;
10612319700|2784270|10;
10612319700|2785271|10;
10612319700|2784552|10;
10612319700|2784553|10;
10612319700|2784833|10;
10612319700|2784749|6;
10612319700|2784750|10;
10612319700|2784751|10;
5577746303|1|10;
10612325000|2784920|13;
10612318300|2784831|4;
10612329300|2785281|5;
5577761503|1|10;
10612357900|2784846|9;
10612364200|2784847|2;
10612330100|2784993|21;
10612306700|2784826|64;
9802993|1|684;
10612317700|2785171|19;
10612319700|2784910|9;
10612318200|2784909|4;
10612329000|2785273|10;
10612329500|2784761|10;
10612366800|2785283|4;
5011436962901|2784908|35;
5011436992201|2784912|4;
10612364000|2785282|5;
9802485|2785289|48;
10612369100|2785284|8;
10612374900|2785285|5;
10612375000|2785286|5;
9802472|2785109|48;
9802482|2785290|49;
10612389700|2785110|5;
9802470|2785292|54;
10612338800|2785184|3;
9803200|2785113|59;
5011437022001|2784932|4;
10612371300|2785108|5;
9796755|2785376|69;
5577781803|1|15;
9796755|2785375|69;
9796762|2785377|71;
10612364300|2784994|5;
9795825|2785378|93;
10612427000|2785309|5;
10612315000|2784267|5;
10612315000|2784547|4;
10612315000|2784901|5;
10612315000|2784745|5;
9800796|2785379|100;
10612323000|2785173|6;
10612323000|2785176|10;
10612323000|2785177|10;
10612323000|2785178|10;
10612323000|2785179|10;
10612323000|2785180|10;
10612323000|2785181|10;
10612323000|2785182|10;
10612323000|2785183|10;
10612323000|2785100|6;
10612323000|2785101|10;
10612401000|2785123|5;
10612425300|2785198|5;
10612426900|2784940|5;
10612323000|2785102|10;
10612323000|2785103|10;
10612323000|2785104|10;
10612323000|2785105|10;
10612323000|2785106|10;
10612323000|2785107|15;
